id,date,compound,neg,neu,pos
https://openalex.org/W4387542522,2023,-0.2507,0.032,0.923,0.045
https://openalex.org/W4387572623,2023,0.9936,0.014,0.792,0.194
https://openalex.org/W4387585859,2023,0.0172,0.039,0.925,0.036
https://openalex.org/W4387611174,2023,-0.778,0.042,0.936,0.023
https://openalex.org/W4387619201,2023,0.8906,0.045,0.876,0.079
https://openalex.org/W4387637459,2023,-0.8481,0.068,0.904,0.028
https://openalex.org/W4387650547,2023,0.9891,0.017,0.808,0.175
https://openalex.org/W4387653639,2023,0.9694,0.013,0.846,0.142
https://openalex.org/W4387673370,2023,-0.9767,0.059,0.894,0.048
https://openalex.org/W4387771599,2023,0.9258,0.033,0.889,0.078
https://openalex.org/W4387808257,2023,0.9672,0.033,0.867,0.1
https://openalex.org/W4387878189,2023,0.9647,0.016,0.855,0.129
https://openalex.org/W4387879551,2023,0.99,0.01,0.882,0.107
https://openalex.org/W4387902864,2023,0.9217,0.026,0.837,0.137
https://openalex.org/W4387928419,2023,0.9877,0.046,0.816,0.138
https://openalex.org/W4387933297,2023,0.9945,0.019,0.776,0.205
https://openalex.org/W4387938556,2023,0.9729,0.052,0.753,0.194
https://openalex.org/W4387940624,2023,0.9764,0.053,0.785,0.162
https://openalex.org/W4387949592,2023,0.9816,0.035,0.763,0.201
https://openalex.org/W4387977820,2023,0.9897,0.016,0.796,0.189
https://openalex.org/W4388001433,2023,0.9442,0.008,0.901,0.091
https://openalex.org/W4388021714,2023,0.8819,0.061,0.843,0.096
https://openalex.org/W4388034036,2023,0.9377,0.02,0.908,0.072
https://openalex.org/W4388043633,2023,0.994,0.0,0.832,0.168
https://openalex.org/W4388043856,2023,0.91,0.026,0.869,0.104
https://openalex.org/W4388097824,2023,0.796,0.033,0.899,0.068
https://openalex.org/W4388205330,2023,0.2975,0.068,0.853,0.079
https://openalex.org/W4388221502,2023,0.9822,0.018,0.834,0.148
https://openalex.org/W4388239359,2023,0.4767,0.037,0.91,0.053
https://openalex.org/W4388256016,2023,-0.8126,0.126,0.762,0.112
https://openalex.org/W4388272294,2023,-0.4738,0.074,0.873,0.054
https://openalex.org/W4388288540,2023,0.9506,0.01,0.937,0.052
https://openalex.org/W4388445326,2023,0.5719,0.04,0.904,0.056
